,EntryID,Substrate,EnzymeType,PubMedID,Organism,UniprotID,ECNumber,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit
0,3804,1-Octanol;NAD+,wildtype class III,2936344.0,Homo sapiens,P11766,1.1.1.1,kcat,,2.83333333,,-,s^(-1)
1,3804,1-Octanol;NAD+,wildtype class III,2936344.0,Homo sapiens,P11766,1.1.1.1,Km,1-Octanol,0.00055,,-,M
2,3805,1-Pentanol;NAD+,wildtype class III,2936344.0,Homo sapiens,P11766,1.1.1.1,kcat,,0.183333333,,-,s^(-1)
3,3805,1-Pentanol;NAD+,wildtype class III,2936344.0,Homo sapiens,P11766,1.1.1.1,Km,1-Pentanol,0.027,,-,M
4,3806,NAD+;12-Hydroxydodecanoic acid,wildtype class III,2936344.0,Homo sapiens,P11766,1.1.1.1,kcat,,0.333333333,,-,s^(-1)
5,3806,NAD+;12-Hydroxydodecanoic acid,wildtype class III,2936344.0,Homo sapiens,P11766,1.1.1.1,Km,12-Hydroxydodecanoic acid,5.6e-05,,-,M
6,4505,NAD+;Ethanol,wildtype ADHIII,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NAD+,0.00039,,-,M
7,4505,NAD+;Ethanol,wildtype ADHIII,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,408.333333,,-,s^(-1)
8,4506,NAD+;Ethanol,mutant ADHIII G225A,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NAD+,0.001,,-,M
9,4506,NAD+;Ethanol,mutant ADHIII G225A,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,405.0,,-,s^(-1)
10,4507,NAD+;Ethanol,mutant ADHIII A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NAD+,0.00098,,-,M
11,4507,NAD+;Ethanol,mutant ADHIII A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,285.0,,-,s^(-1)
12,4508,NAD+;Ethanol,mutant ADHIII G225A-A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NAD+,0.00057,,-,M
13,4508,NAD+;Ethanol,mutant ADHIII G225A-A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,140.5,,-,s^(-1)
14,4509,Ethanol;NAD+,mutant ADHIII G225A-A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,Ethanol,0.00085,,-,M
15,4509,Ethanol;NAD+,mutant ADHIII G225A-A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,85.8333333,,-,s^(-1)
16,4510,Ethanol;NAD+,mutant ADHIII A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,120.0,,-,s^(-1)
17,4510,Ethanol;NAD+,mutant ADHIII A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,Ethanol,0.00102,,-,M
18,4511,Ethanol;NAD+,mutant ADHIII G225A,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,163.333333,,-,s^(-1)
19,4511,Ethanol;NAD+,mutant ADHIII G225A,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,Ethanol,0.00074,,-,M
20,4512,NAD+;Ethanol,wildtype ADHIII,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,253.333333,,-,s^(-1)
21,4512,NAD+;Ethanol,wildtype ADHIII,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,Ethanol,0.0005,,-,M
22,4513,NADH;H+;Acetaldehyde,wildtype ADHIII,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NADH,2.5e-05,,-,M
23,4513,NADH;H+;Acetaldehyde,wildtype ADHIII,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,1000.0,,-,s^(-1)
24,4514,NADH;H+;Acetaldehyde,mutant ADHIII G225A,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,678.333333,,-,s^(-1)
25,4514,NADH;H+;Acetaldehyde,mutant ADHIII G225A,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NADH,4.5e-05,,-,M
26,4515,H+;NADH;Acetaldehyde,mutant ADHIII A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NADH,7e-05,,-,M
27,4515,H+;NADH;Acetaldehyde,mutant ADHIII A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,1056.66667,,-,s^(-1)
28,4516,NADH;H+;Acetaldehyde,mutant ADHIII G225A-A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NADH,6e-05,,-,M
29,4516,NADH;H+;Acetaldehyde,mutant ADHIII G225A-A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,665.0,,-,s^(-1)
30,4517,H+;Acetaldehyde;NADH,mutant ADHIII G225A-A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,Acetaldehyde,0.00022,,-,M
31,4517,H+;Acetaldehyde;NADH,mutant ADHIII G225A-A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,726.666667,,-,s^(-1)
32,4518,Acetaldehyde;H+;NADH,mutant ADHIII A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,430.0,,-,s^(-1)
33,4518,Acetaldehyde;H+;NADH,mutant ADHIII A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,Acetaldehyde,0.00158,,-,M
34,4519,NADH;Acetaldehyde;H+,mutant ADHIII G225A,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,Acetaldehyde,0.0021,,-,M
35,4519,NADH;Acetaldehyde;H+,mutant ADHIII G225A,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,1063.33333,,-,s^(-1)
36,4520,Acetaldehyde;NADH;H+,wildtype ADHIII,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,Acetaldehyde,0.00233,,-,M
