,biology,posterior_mean,q_0.01,q_0.5,q_0.99
0,Arabidopsis thaliana|1.1.1.133|NADPH,-4.5344096834375,-6.8390297,-4.56016,-2.0342735000000025
1,Arabidopsis thaliana|1.1.1.22|NAD+,-2.976932271875,-4.269418699999999,-2.9908,-1.6159205000000003
2,Arabidopsis thaliana|1.1.1.22|UDP-glucose,-2.1745340045625,-3.9536985,-2.131945,-0.6173724100000005
3,Arabidopsis thaliana|1.1.1.25|NADP+,-2.505546634375,-3.4400783,-2.494155,-1.6761860000000017
4,Arabidopsis thaliana|1.1.1.25|shikimate,-0.7593281003499999,-2.1893073,-0.7154754999999999,0.3123284
5,Arabidopsis thaliana|1.1.1.26|NADPH,-2.8013933556646875,-5.9067126,-2.83071,0.5775250599999997
6,Arabidopsis thaliana|1.1.1.26|glyoxylate,-4.534867409375,-5.7727385,-4.532405000000001,-3.1561445
7,Arabidopsis thaliana|1.1.1.267|1-deoxy-D-xylulose 5-phosphate,-2.90332720553125,-6.3006567,-2.767435,-0.6696226300000048
8,Arabidopsis thaliana|1.1.1.267|NADPH,-3.840617165625,-5.1386016,-3.8386899999999997,-2.631782300000002
9,Arabidopsis thaliana|1.1.1.288|xanthoxin,-3.6227027148753126,-6.2360203,-3.7055249999999997,-0.12826852000000205
10,Arabidopsis thaliana|1.1.1.3|L-homoserine,0.022137327198000004,-3.1399509,0.1418125,2.1589373999999997
11,Arabidopsis thaliana|1.1.1.3|NADP+,-1.3739377699371875,-3.1933586,-1.3872849999999999,0.4964877699999996
12,Arabidopsis thaliana|1.1.1.316|L-galactose,-2.7220827887499994,-4.0876148,-2.7136050000000003,-1.4289851000000016
13,Arabidopsis thaliana|1.1.1.316|NAD+,-3.2623427834375,-4.7931711,-3.298265,-1.389238100000002
14,Arabidopsis thaliana|1.1.1.37|NADH,0.565247527745625,-1.5163426,0.4992305,3.0828762000000003
15,Arabidopsis thaliana|1.1.1.37|oxaloacetate,-0.7627133650740625,-2.2781436000000004,-0.772162,0.6849212599999969
16,Arabidopsis thaliana|1.1.1.39|(S)-malate,0.8050060530550001,-0.6218652299999999,0.8293035,1.9329834999999982
17,Arabidopsis thaliana|1.1.1.39|NAD+,-0.928222748428125,-2.1958691000000004,-0.897206,0.1513359299999987
18,Arabidopsis thaliana|1.1.1.40|(S)-malate,0.14418708838028124,-1.5475681000000001,0.184209,1.4550210999999957
19,Arabidopsis thaliana|1.1.1.40|NADP+,-3.517134521875,-4.3002622,-3.521605,-2.692609500000001
20,Arabidopsis thaliana|1.1.1.40|pyruvate,2.07416132178125,0.38343114,2.08542,3.630956499999997
21,Arabidopsis thaliana|1.1.1.418|NAD+,-3.714263445875,-6.1289994,-3.92532,0.12292202999999177
22,Arabidopsis thaliana|1.1.1.42|D-isocitrate,-2.52223591485,-4.7035010999999995,-2.5145049999999998,-0.5751937900000094
23,Arabidopsis thaliana|1.1.1.42|NADP+,-3.154609284375,-4.073873,-3.1672149999999997,-2.2223849000000016
24,Arabidopsis thaliana|1.1.1.49|D-glucose 6-phosphate,-2.2021920189374997,-4.0653111,-2.1972199999999997,-0.3064506900000024
25,Arabidopsis thaliana|1.1.1.49|NADP+,-3.3240639874999998,-4.1892362,-3.3237699999999997,-2.457775400000002
26,Arabidopsis thaliana|1.1.1.79|NADPH,-5.976574421875,-6.9249312000000005,-5.99653,-4.823224200000001
27,Arabidopsis thaliana|1.1.1.79|Succinic semialdehyde,0.2893153998478125,-2.0807327,0.281775,2.492733599999991
28,Arabidopsis thaliana|1.1.1.79|glyoxylate,-2.7014485590625,-3.8883532,-2.72059,-1.3687514000000005
29,Arabidopsis thaliana|1.1.1.81|Hydroxypyruvate,-1.2318495107509375,-4.304251300000001,-1.20122,1.2883231999999987
30,"Arabidopsis thaliana|1.1.1.85|(2R,3S)-3-isopropylmalate",-3.827262515625,-5.1752597,-3.83562,-2.4201941000000002
31,Arabidopsis thaliana|1.1.1.95|3-phospho-D-glycerate,-0.426369929576875,-2.4801610999999997,-0.3428305,0.9638501999999985
32,Arabidopsis thaliana|1.1.1.95|NAD+,-3.27452083125,-4.667749000000001,-3.2964149999999997,-1.6365057000000003
33,Arabidopsis thaliana|1.1.1.95|NADH,-4.3655709959375,-6.4702923,-4.357609999999999,-2.4021001000000073
34,Arabidopsis thaliana|1.1.2.3|(S)-lactate,-1.769459207325,-3.9754484,-1.753685,0.4094176299999913
35,Arabidopsis thaliana|1.1.5.13|L-2-hydroxyglutarate,-1.041586844265625,-3.0249505,-1.099705,1.406050499999997
36,Arabidopsis thaliana|1.1.99.2|(S)-2-hydroxyglutarate,-1.85961293028125,-4.363388199999999,-1.802375,0.25416923999999685
37,Arabidopsis thaliana|1.1.99.39|(R)-2-hydroxyglutarate,-0.9800799210021874,-4.7656393,-0.878752,1.5984903999999946
38,Arabidopsis thaliana|1.13.11.27|4-hydroxyphenylpyruvate,-2.628913129,-5.0293293,-2.557665,-0.791600560000001
39,Arabidopsis thaliana|1.13.11.5|homogentisate,-2.7524948923125,-4.407951300000001,-2.8120849999999997,-0.7460161000000063
40,Arabidopsis thaliana|1.13.11.68|9-cis-beta-carotene,-3.02573741390625,-5.173437000000001,-3.044585,-0.74591518
41,Arabidopsis thaliana|1.13.11.68|9-cis-zeaxanthin,-1.6379943696531252,-3.9258894,-1.678285,1.1235356999999968
42,Arabidopsis thaliana|1.14.11.15|gibberellin a20,-6.3367336071875,-8.421337900000001,-6.45848,-3.1834651
43,Arabidopsis thaliana|1.14.11.2|2-oxoglutarate,-2.1407033953125,-3.1657706,-2.1151150000000003,-1.1921488000000005
44,Arabidopsis thaliana|1.14.11.60|scopoletin,-3.86032969025,-6.3488254,-3.97811,-0.3574989000000077
45,Arabidopsis thaliana|1.14.11.61|trans-feruloyl-CoA,-3.1265171259687503,-5.8080686,-3.169735,0.09513571399999106
